Id	Desc	Name	SceneResource	SceneRuleID	Type	IsOriginalWorldLoad	IsBigWorldLoad	Length	Width	Obstacle	SceneMapTexture	SceneMapWidth	SceneMapHeight	SceneMapLogicWidth	BGMusic	CopySceneID	CopySceneReEnterable	MaxInstCount	PlayersMaxA	PlayersMaxB	PlayersMaxC	GroupNormalSize	GroupSlowSize	GroupPauseSize	ReliveType_1	ReliveType_2	ReliveType_3	Entry_x	Entry_z	Safe_x	Safe_z	ReliveOriginalNum	ReliveEntryNum	EnterSceneEffect	LeaveSceneEffect	WMEnterLevelLimit	EnterNoticeDicID	CanUsePlanScene	PlayerViewRadius	PlayerViewEdgeInc	ChangeTab	SafeAreaIndex	SeamlessOffSetX	SeamlessOffsetZ
89	鸿蒙古地	Hồng Mông Cổ Địa 	37	0	1	1	0	128	128	./Scene/Yw_Hongmenggudi.path	hongmenggudi	384	384	128	485	46	0	-1	40	56	-1	8	80	100	1	1	1	109.8	81.3	109.8	81.3	-1	-1	1	1	125	-1	1	16	4	0	-1	0	0
90	修罗	Tu La 	38	0	1	1	0	128	128	./Scene/Yw_Xiuluo.path	xiuluo	384	384	128	532	0	0	-1	40	56	-1	8	80	100	1	1	1	64.2	20.8	64.2	20.8	-1	-1	1	1	135	-1	1	16	4	0	-1	0	0
91	蟠龙峰	Bàn Long Phong 	40	0	1	1	0	128	128	./Scene/Yw_Panlongfeng.path	panlongfeng	384	384	128	626	0	0	-1	40	56	-1	8	80	100	1	1	1	106.7	103.49	106.7	103.49	-1	-1	1	1	150	-1	1	16	4	0	-1	0	0
92	大王村相位	Đại Vương Thôn  - thủ phạm thật phía sau màn	30	6	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	dawangcun	384	384	128	143	53	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	34.28	95.49	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
93	死泽相位	Tử Vong Chiểu Trạch  - đại chiến huyền xà	22	6	2	1	0	128	128	./Scene/Yw_Dawangcun.path	xifangzhaoze	384	384	128	254	54	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	107.97	113.44	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
94	多人竞技副本	Đa Nhân Cạnh Kỹ 	107	6	2	1	1	64	64	./Scene/Fb_Wangzhezhengba.path	wangzhezhengba	192	192	64	57	64	1	-1	40	56	-1	10	80	100	0	0	1	32.39	30	32.39	30	-1	-1	0	0	1	-1	1	1000	4	0	-1	0	0
95	大世界场景	Thượng cổ dị giới	41	19	1	0	1	512	512	./Scene/Bw_Shangguyijie.path	changshengdian	1536	1536	512	652	0	0	-1	100	120	140	1	80	100	1	1	1	207.2	262.25	207.2	262.25	-1	-1	1	1	120	-1	1	16	4	0	-1	0	0
96	副本	Huyền minh điện	106	6	2	1	1	48	48	./Scene/Fb_moshenjianglin.path	xuanhuotan1	144	144	48	206	77	0	-1	40	56	-1	10	80	100	1	1	1	23.7	24.13	23.7	24.13	-1	-1	0	0	1	-1	1	1000	4	1	-1	0	0
97	副本	Phu thê phó bản	34	6	2	1	0	70	70	./Scene/Fb_Jiehun_di.path	jiehun	210	210	70	288	84	0	-1	40	56	-1	10	80	100	1	1	1	32	20	32	20	-1	-1	0	0	45	-1	1	16	4	1	-1	0	0
98	大世界相位	Trường sinh giới	41	4	2	0	1	512	512	./Scene/Bw_Shangguyijie.path	changshengdian	1536	1536	512	485	86	0	-1	40	56	-1	16	80	100	1	1	1	207.2	262.25	207.2	262.25	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
99	大世界相位（无小怪）	Trường sinh giới	41	12	2	0	1	512	512	./Scene/Bw_Shangguyijie.path	changshengdian	1536	1536	512	485	86	0	-1	40	56	-1	16	80	100	1	1	1	207.2	262.25	207.2	262.25	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
100	妖兽突袭-小池镇-相位	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	5.94	4.72	5.94	4.72	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
101	妖兽突袭-空桑山-相位	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	16.71	116.9	110.54	104.17	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
102	野外	Huyền Hỏa Đàn Nhị Tằng 	25	11	1	1	0	32	32	./Scene/Fb_xuanhuotandierceng.path	xuanhuotan2	96	96	32	31	0	0	-1	40	56	-1	8	80	100	1	1	1	15.88	5.98	67.09	90.52	-1	-1	1	1	65	-1	1	16	4	0	-1	0	0
103	野外	Hồ Kỳ Sơn Địa Cung 	26	11	1	1	0	32	32	./Scene/Fb_huqishandigong.path	huqishandigong	96	96	32	226	0	0	-1	40	56	-1	8	80	100	1	1	1	16.05	6.58	76.23	25.08	-1	-1	1	1	15	-1	1	16	4	0	-1	0	0
104	天地宝库	Thiên Địa Bảo Khố 	32	12	2	1	0	32	32	./Scene/Fb_Tiandibaoku.path	menghuiheyang2	131	222	32	2	5	0	-1	40	56	-1	10	80	100	1	1	1	-1	-1	14.55	59.21	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
105	妖兽突袭-空桑山-相位-入口NPC_ID：740	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	59.91	20.98	55.69	38.35	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
106	妖兽突袭-空桑山-相位-入口NPC_ID：739	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	77.42	71.49	22.1	20.98	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
107	妖兽突袭-空桑山-相位-入口NPC_ID：738	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	101.27	109.26	101.27	109.26	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
108	妖兽突袭-空桑山-相位-入口NPC_ID：737	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	19.29	14.8	19.29	14.8	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
109	妖兽突袭-空桑山-相位-入口NPC_ID：736	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	20.58	45.99	20.58	45.99	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
110	妖兽突袭-空桑山-相位-入口NPC_ID：735	Không Tang Sơn 	17	14	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	15.36	114.46	15.36	114.46	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
111	妖兽突袭-小池镇-相位-入口NPC_ID：740	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	110.54	104.17	110.54	104.17	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
112	妖兽突袭-小池镇-相位-入口NPC_ID：739	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	67.09	90.52	67.09	90.52	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
113	妖兽突袭-小池镇-相位-入口NPC_ID：738	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	76.23	25.08	76.23	25.08	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
114	妖兽突袭-小池镇-相位-入口NPC_ID：737	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	14.55	59.21	14.55	59.21	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
115	妖兽突袭-小池镇-相位-入口NPC_ID：736	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	55.69	38.35	55.69	38.35	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
116	妖兽突袭-小池镇-相位-入口NPC_ID：735	Tiểu Trì Trấn 	4	14	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	22.1	20.98	22.1	20.98	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
117	妖兽突袭-流波山-相位-入口NPC_ID：735	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	16.96	11.42	16.96	11.42	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
118	妖兽突袭-流波山-相位-入口NPC_ID：736	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	58.2	13.6	58.2	13.6	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
119	妖兽突袭-流波山-相位-入口NPC_ID：737	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	94.14	9.86	94.14	9.86	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
120	妖兽突袭-流波山-相位-入口NPC_ID：738	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	98.3	69.2	98.3	69.2	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
121	妖兽突袭-流波山-相位-入口NPC_ID：739	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	43.9	108.66	43.9	108.66	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
122	妖兽突袭-流波山-相位-入口NPC_ID：740	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	19.83	57.24	19.83	57.24	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
123	妖兽突袭-焚香谷-相位-入口NPC_ID：735	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	34.78	27.08	34.78	27.08	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
124	妖兽突袭-焚香谷-相位-入口NPC_ID：736	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	72.13	40.82	72.13	40.82	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
125	妖兽突袭-焚香谷-相位-入口NPC_ID：737	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	104.27	20.74	104.27	20.74	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
126	妖兽突袭-焚香谷-相位-入口NPC_ID：738	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	23.73	78.69	23.73	78.69	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
127	妖兽突袭-焚香谷-相位-入口NPC_ID：739	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	65.6	99.01	65.6	99.01	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
128	妖兽突袭-焚香谷-相位-入口NPC_ID：740	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	119.59	93.73	119.59	93.73	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
129	妖兽突袭-大王村-相位-入口NPC_ID：735	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	22.17	24.39	22.17	24.39	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
130	妖兽突袭-大王村-相位-入口NPC_ID：736	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	31.06	63.09	31.06	63.09	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
131	妖兽突袭-大王村-相位-入口NPC_ID：737	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	33.3	105.64	33.3	105.64	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
132	妖兽突袭-大王村-相位-入口NPC_ID：738	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	104.89	14.6	104.89	14.6	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
133	妖兽突袭-大王村-相位-入口NPC_ID：739	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	77.95	51.62	77.95	51.62	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
134	妖兽突袭-大王村-相位-入口NPC_ID：740	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	110.11	102.86	110.11	102.86	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
135	妖兽突袭-死亡沼泽-相位-入口NPC_ID：735	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	18.78	6.88	18.78	6.88	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
136	妖兽突袭-死亡沼泽-相位-入口NPC_ID：736	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	107.9	13.59	107.9	13.59	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
137	妖兽突袭-死亡沼泽-相位-入口NPC_ID：737	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	97.13	58	97.13	58	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
138	妖兽突袭-死亡沼泽-相位-入口NPC_ID：738	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	19.06	67.87	19.06	67.87	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
139	妖兽突袭-死亡沼泽-相位-入口NPC_ID：739	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	37.35	106.25	37.35	106.25	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
140	妖兽突袭-死亡沼泽-相位-入口NPC_ID：740	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	106.64	114.65	106.64	114.65	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
141	妖兽突袭-七里峒-相位-入口NPC_ID：735	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	18.45	10.64	18.45	10.64	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
142	妖兽突袭-七里峒-相位-入口NPC_ID：736	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	66.04	26.65	66.04	26.65	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
143	妖兽突袭-七里峒-相位-入口NPC_ID：737	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	107.12	13.69	107.12	13.69	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
144	妖兽突袭-七里峒-相位-入口NPC_ID：738	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	12.75	114.19	12.75	114.19	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
145	妖兽突袭-七里峒-相位-入口NPC_ID：739	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	101.19	86.79	101.19	86.79	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
146	妖兽突袭-七里峒-相位-入口NPC_ID：740	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	110.59	75.72	110.59	75.72	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
147	妖兽突袭-十万大山-相位-入口NPC_ID：735	Thập Vạn Đại Sơn 	35	14	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	66.96	24.29	66.96	24.29	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
148	妖兽突袭-十万大山-相位-入口NPC_ID：736	Thập Vạn Đại Sơn 	35	14	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	22.73	25.74	22.73	25.74	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
149	妖兽突袭-十万大山-相位-入口NPC_ID：737	Thập Vạn Đại Sơn 	35	14	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	18.78	55.5	18.78	55.5	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
150	妖兽突袭-十万大山-相位-入口NPC_ID：738	Thập Vạn Đại Sơn 	35	14	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	69.22	67.55	69.22	67.55	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
151	妖兽突袭-十万大山-相位-入口NPC_ID：739	Thập Vạn Đại Sơn 	35	14	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	80.35	99.68	80.35	99.68	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
152	妖兽突袭-十万大山-相位-入口NPC_ID：740	Thập Vạn Đại Sơn 	35	14	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	38.2	93.24	38.2	93.24	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
153	妖兽突袭-毒蛇谷-相位-入口NPC_ID：735	Độc Xà Cốc 	27	14	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	22.87	30.6	22.87	30.6	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
154	妖兽突袭-毒蛇谷-相位-入口NPC_ID：736	Độc Xà Cốc 	27	14	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	60.58	40.08	60.58	40.08	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
155	妖兽突袭-毒蛇谷-相位-入口NPC_ID：737	Độc Xà Cốc 	27	14	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	105.2	70.85	105.2	70.85	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
156	妖兽突袭-毒蛇谷-相位-入口NPC_ID：738	Độc Xà Cốc 	27	14	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	53.7	95.8	53.7	95.8	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
157	妖兽突袭-毒蛇谷-相位-入口NPC_ID：739	Độc Xà Cốc 	27	14	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	72.31	116.98	72.31	116.98	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
158	妖兽突袭-毒蛇谷-相位-入口NPC_ID：740	Độc Xà Cốc 	27	14	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	110.45	103.81	110.45	103.81	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
159	妖兽突袭-蛮荒-相位-入口NPC_ID：735	Man Hoang 	36	14	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	20.74	34.06	20.74	34.06	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
160	妖兽突袭-蛮荒-相位-入口NPC_ID：736	Man Hoang 	36	14	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	84.91	23.98	84.91	23.98	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
161	妖兽突袭-蛮荒-相位-入口NPC_ID：737	Man Hoang 	36	14	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	102.63	74.47	102.63	74.47	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
162	妖兽突袭-蛮荒-相位-入口NPC_ID：738	Man Hoang 	36	14	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	55.3	62.58	55.3	62.58	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
163	妖兽突袭-蛮荒-相位-入口NPC_ID：739	Man Hoang 	36	14	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	22.48	89.64	22.48	89.64	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
164	妖兽突袭-蛮荒-相位-入口NPC_ID：740	Man Hoang 	36	14	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	70.53	111.58	70.53	111.58	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
165	妖兽突袭-昆仑山-相位-入口NPC_ID：735	Côn Lôn Sơn 	20	14	2	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	42.53	35.91	42.53	35.91	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
166	妖兽突袭-昆仑山-相位-入口NPC_ID：736	Côn Lôn Sơn 	20	14	2	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	87.35	13.97	87.35	13.97	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
167	妖兽突袭-昆仑山-相位-入口NPC_ID：737	Côn Lôn Sơn 	20	14	2	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	91.92	30.4	91.92	30.4	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
168	妖兽突袭-昆仑山-相位-入口NPC_ID：738	Côn Lôn Sơn 	20	14	2	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	13.89	73.13	13.89	73.13	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
169	妖兽突袭-昆仑山-相位-入口NPC_ID：739	Côn Lôn Sơn 	20	14	2	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	39.36	85.06	39.36	85.06	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
170	妖兽突袭-昆仑山-相位-入口NPC_ID：740	Côn Lôn Sơn 	20	14	2	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	75.23	79.15	75.23	79.15	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
171	妖兽突袭-鸿蒙古地-相位-入口NPC_ID：735	Hồng Mông Cổ Địa 	37	14	2	1	0	128	128	./Scene/Yw_Hongmenggudi.path	None	320	320	64	206	29	0	-1	40	56	-1	18	80	100	1	1	1	23.31	21.4	23.31	21.4	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
172	妖兽突袭-鸿蒙古地-相位-入口NPC_ID：736	Hồng Mông Cổ Địa 	37	14	2	1	0	128	128	./Scene/Yw_Hongmenggudi.path	None	320	320	64	206	29	0	-1	40	56	-1	18	80	100	1	1	1	83.4	15.61	83.4	15.61	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
173	妖兽突袭-鸿蒙古地-相位-入口NPC_ID：737	Hồng Mông Cổ Địa 	37	14	2	1	0	128	128	./Scene/Yw_Hongmenggudi.path	None	320	320	64	206	29	0	-1	40	56	-1	18	80	100	1	1	1	22.48	84.9	22.48	84.9	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
174	妖兽突袭-鸿蒙古地-相位-入口NPC_ID：738	Hồng Mông Cổ Địa 	37	14	2	1	0	128	128	./Scene/Yw_Hongmenggudi.path	None	320	320	64	206	29	0	-1	40	56	-1	18	80	100	1	1	1	29.66	113.3	29.66	113.3	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
