Id	Desc	Name	CardDesc	ShowIndex	Introduction	Quality	InitLevel	HeadIconAtlas	HeadIconName	BigTexName	IconTexName	MaskTexName	CardToFragmentCount	StuffToFragmentCount	FragmentToStuffCount	CardDivToStuffCount	FragmentDivToStuffCount	AttrType_1	AttrValueID_1	AttrType_2	AttrValueID_2	AttrType_3	AttrValueID_3	AttrType_4	AttrValueID_4	AffectionName_1	AffectionDesc_1	AffectionConditonValue_1	AffectionGainsType_1	AffectionGainsValue_1	AffectionName_2	AffectionDesc_2	AffectionConditonValue_2	AffectionGainsType_2	AffectionGainsValue_2	AffectionName_3	AffectionDesc_3	AffectionConditonValue_3	AffectionGainsType_3	AffectionGainsValue_3	AffectionName_4	AffectionDesc_4	AffectionConditonValue_4	AffectionGainsType_4	AffectionGainsValue_4	TrainAttr_1	TrainAttr_2	TrainAttr_3	TrainAttr_4	TrainAttr_5	TrainAttr_6	TrainAttr_7	TrainAttr_8	TrainAttrWeight_1	TrainAttrWeight_2	TrainAttrWeight_3	TrainAttrWeight_4	TrainAttrWeight_5	TrainAttrWeight_6	TrainAttrWeight_7	TrainAttrWeight_8	TrainLove_1	TrainLove_2	TrainLove_3	TrainLove_4	TrainLove_5	TrainLove_6	TrainLove_7	TrainLove_8	TrainLoveWeight_1	TrainLoveWeight_2	TrainLoveWeight_3	TrainLoveWeight_4	TrainLoveWeight_5	TrainLoveWeight_6	TrainLoveWeight_7	TrainLoveWeight_8	CombatStar_1	CombatStar_2	CombatStar_3	CombatStar_4	GetWay
24	野狗道人	野狗道人	野狗道人合成/升阶需要收集[20bb00][野狗道人碎片][-]和[灵尘]#r◇[20bb00][野狗道人碎片][-]：烛龙之怒奖励/开启阵灵福袋奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	84		0	1	Icon	zhenling_yegou	Texture/Spirits/Card/zhenling_yegou_card	Texture/Spirits/Head/zhenling_yegou_tx	Texture/Spirits/ZheZhao/yegoudaoren	50	5	1	50	1	5	3	1	2	8	6	23	13	望君承纳	望君承纳：与周一仙同时上阵，暴伤减免+1200	9	12	1200	终归鬼王	终归鬼王：与碧瑶同时上阵，命中+6500	8	7	6500	前尘后事	前尘后事：与小环同时上阵，防御+1930	12	6	1930	邪宗正心	邪宗正心：与秦无炎同时上阵，全抗性+4800	18	28	4800	2	4	5	6	8	-1	-1	-1	11	11	26	26	26	0	0	0	24	124	224	324	424	524	-1	-1	17	17	17	17	17	17	0	0	632	1264	5792	13516	7
25	小白	小白	小白合成/升阶需要收集[cc00ff][小白碎片][-]和[灵尘]#r◇[cc00ff][小白碎片][-]：神武通宝兑换#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	28		2	1	IconPlusAtlas	zhenling_xiaobai	Texture/Spirits/Card/zhenling_xiaobai_card	Texture/Spirits/Head/zhenling_xiaobai_tx	Texture/Spirits/ZheZhao/xiaobai	50	40	12	600	12	0	31	5	33	7	35	12	40	搭救之恩	搭救之恩：与张小凡同时上阵，气血+152100	5	0	152100	仙媚容姿	仙媚容姿：与陆雪琪同时上阵，真气+27105	7	1	27105	亲缘一脉	亲缘一脉：与碧瑶同时上阵，防御+4350	8	6	4350	天狐一族	天狐一族：与三尾同时上阵，攻击+4350	20	5	4350	26	28	29	30	32	-1	-1	-1	11	11	26	26	26	0	0	0	525	526	527	528	529	530	-1	-1	17	17	17	17	17	17	0	0	948	1897	11761	27444	8
26	三妙夫人	三妙夫人	三妙夫人合成/升阶需要收集[e35609][三妙夫人碎片][-]和[灵尘]#r◇[e35609][三妙夫人碎片][-]：烛龙之怒奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	5		3	1	IconPlusAtlas	zhenling_sanmiao	Texture/Spirits/Card/zhenling_sanmiao_card	Texture/Spirits/Head/zhenling_sanmiao_tx	Texture/Spirits/ZheZhao/sanmiaofuren	50	50	20	1000	20	1	47	6	49	8	51	11	54	魔宗之主	魔宗之主：与鬼王同时上阵，气血+169050	3	0	169050	魔宗仙子	魔宗仙子：与碧瑶同时上阵，防御+4830	8	6	4830	正邪两派	正邪两派：与田不易同时上阵，攻击+4830	10	5	4830	师徒之情	师徒之情：与金瓶儿同时上阵，真气+30120	13	1	30120	37	39	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	531	532	533	534	535	536	-1	-1	17	17	17	17	17	17	0	0	970	1940	9591	22380	7
27	玉阳子	玉阳子	玉阳子合成/升阶需要收集[e35609][玉阳子碎片][-]和[灵尘]#r◇[e35609][玉阳子碎片][-]：官方活动奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	6		3	1	IconPlusAtlas	zhenling_yuyangzi	Texture/Spirits/Card/zhenling_yuyangzi_card	Texture/Spirits/Head/zhenling_yuyangzi_tx	Texture/Spirits/ZheZhao/yuyangzi	50	50	20	1000	20	1	47	5	48	9	52	11	54	魔宗之主	魔宗之主：与鬼王同时上阵，防御+4830	3	6	4830	万毒归宗	万毒归宗：与毒神同时上阵，命中+16260	4	7	16260	邪魅仙子	邪魅仙子：与三妙夫人同时上阵，暴伤加成+1500	26	11	1500	灭派祸首	灭派祸首：与秦无炎同时上阵，攻击+4830	18	5	4830	37	45	42	43	47	-1	-1	-1	11	11	26	26	26	0	0	0	27	127	227	327	427	25	-1	-1	17	17	17	17	17	17	0	0	569	1138	12705	29645	-1
28	普德	普德	普德合成/升阶需要收集[cc00ff][普德碎片][-]和[灵尘]#r◇[cc00ff][普德碎片][-]：官方活动奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	29		2	1	IconPlusAtlas	zhenling_pude	Texture/Spirits/Card/zhenling_pude_card	Texture/Spirits/Head/zhenling_pude_tx	Texture/Spirits/ZheZhao/pude	50	40	12	600	12	0	31	6	34	10	38	12	40	袛树有缘	袛树有缘：与鬼厉同时上阵，命中+14640	1	7	14640	禅定心缘	禅定心缘：与林惊羽同时上阵，暴击+14640	6	9	14640	佛法无边	佛法无边：与普智同时上阵，攻击+4350	11	5	4350	正气长存	正气长存：与玉阳子同时上阵，气血+152100	27	0	152100	28	34	30	32	35	-1	-1	-1	11	11	26	26	26	0	0	0	28	128	228	328	428	26	-1	-1	17	17	17	17	17	17	0	0	669	1339	11552	26956	-1
29	金铃夫人	金铃夫人	金铃夫人合成/升阶需要收集[e35609][金铃夫人碎片][-]和[灵尘]#r◇[e35609][金铃夫人碎片][-]：官方活动奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	9		3	1	IconPlusAtlas	zhenling_jinlingfuren	Texture/Spirits/Card/zhenling_jinlingfuren_card	Texture/Spirits/Head/zhenling_jinlingfuren_tx	Texture/Spirits/ZheZhao/jinlingfuren	50	50	20	1000	20	0	46	5	48	12	55	23	58	各不相谋	各不相谋：与黑心老人同时上阵，攻击+4830	30	5	4830	镂月裁云	镂月裁云：与三妙夫人同时上阵，躲闪+6495	26	8	6495	智计无双	智计无双：与金瓶儿同时上阵，暴伤减免+3000	13	12	3000	后世传承	后世传承：与白虎同时上阵，暴伤加成+1500	35	11	1500	39	46	44	47	48	-1	-1	-1	11	11	26	26	26	0	0	0	29	129	229	329	429	125	-1	-1	17	17	17	17	17	17	0	0	891	1782	5578	13016	-1
30	黑心老人	黑心老人	黑心老人合成/升阶需要收集[e35609][黑心老人碎片][-]和[灵尘]#r◇[e35609][黑心老人碎片][-]：玄冥殿挑战以上难度掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	10		3	1	IconPlusAtlas	zhenling_heixinlaoren	Texture/Spirits/Card/zhenling_heixinlaoren_card	Texture/Spirits/Head/zhenling_heixinlaoren_tx	Texture/Spirits/ZheZhao/heixinlaoren	50	50	20	1000	20	1	47	6	49	11	54	22	57	各不相谋	各不相谋：与金铃夫人同时上阵，气血+169050	29	0	169050	冥定相承	冥定相承：与毒神同时上阵，命中+16260	4	7	16260	潜龙勿用	潜龙勿用：与周一仙同时上阵，防御+4830	9	6	4830	后世传承	后世传承：与青龙同时上阵，攻击+4830	33	5	4830	38	45	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	30	130	230	330	430	126	-1	-1	17	17	17	17	17	17	0	0	915	1830	5596	13058	-1
31	万剑一	万剑一	万剑一合成/升阶需要收集[e35609][万剑一碎片][-]和[灵尘]#r◇[e35609][万剑一碎片][-]：王者争霸奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	7		3	1	IconPlusAtlas	zhenling_wanjianyi	Texture/Spirits/Card/zhenling_wanjianyi_card	Texture/Spirits/Head/zhenling_wanjianyi_tx	Texture/Spirits/ZheZhao/wanjianyi	50	50	20	1000	20	0	46	6	49	11	54	25	60	禅定情伤	禅定情伤：与道玄真人同时上阵，攻击+4830	2	5	4830	从海如流	从海如流：与田不易同时上阵，气血+169050	10	0	169050	语短情长	语短情长：与林惊羽同时上阵，暴伤减免+3000	6	12	3000	万寂如心	万寂如心：与幽姬同时上阵，防御+4830	34	6	4830	37	39	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	31	131	231	331	431	225	-1	-1	17	17	17	17	17	17	0	0	970	1940	5637	13154	-1
32	普泓	普泓	普泓合成/升阶需要收集[e35609][普泓碎片][-]和[灵尘]#r◇[e35609][普泓碎片][-]：150级以上可用经验值兑换；飞升后还可在“限购#r商店”用绑定元宝购买#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	8		3	1	IconPlusAtlas	zhenling_yinhong	Texture/Spirits/Card/zhenling_yinhong_card	Texture/Spirits/Head/zhenling_yinhong_tx	Texture/Spirits/ZheZhao/yinhong	50	50	20	1000	20	0	46	5	48	12	55	24	59	同气连枝	同气连枝：与道玄真人同时上阵，防御+4830	2	6	4830	佛门禅定	佛门禅定：与普德同时上阵，暴伤加成+1500	28	11	1500	法轮常转	法轮常转：与普方同时上阵，攻击+4830	37	5	4830	口传心授	口传心授：与法相同时上阵，气血+169050	17	0	169050	40	46	42	44	47	-1	-1	-1	11	11	26	26	26	0	0	0	32	132	232	332	432	226	-1	-1	17	17	17	17	17	17	0	0	744	1488	5467	12758	-1
33	青龙	青龙	青龙合成/升阶需要收集[cc00ff][青龙碎片][-]和[灵尘]#r◇[cc00ff][青龙碎片][-]：神武通宝兑换#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	30		2	1	IconPlusAtlas	zhenling_qinglong	Texture/Spirits/Card/zhenling_qinglong_card	Texture/Spirits/Head/zhenling_qinglong_tx	Texture/Spirits/ZheZhao/qinglong	50	40	12	600	12	5	33	7	35	11	39	27	41	鬼门风怒	鬼门风怒：与幽姬同时上阵，防御+4350	34	6	4350	龙傲长生	龙傲长生：与玉阳子同时上阵，暴伤减免+2700	27	12	2700	屋梁落月	屋梁落月：与鬼王同时上阵，气血+152100	3	0	152100	灵动如风	灵动如风：与小白同时上阵，命中+14640	25	7	14640	25	27	29	31	36	-1	-1	-1	11	11	26	26	26	0	0	0	33	133	233	333	433	325	-1	-1	17	17	17	17	17	17	0	0	873	1746	3493	8151	8
34	幽姬	幽姬	幽姬合成/升阶需要收集[cc00ff][幽姬碎片][-]和[灵尘]#r◇[cc00ff][幽姬碎片][-]：王者争霸奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	31		2	1	IconPlusAtlas	zhenling_youji	Texture/Spirits/Card/zhenling_youji_card	Texture/Spirits/Head/zhenling_youji_tx	Texture/Spirits/ZheZhao/youji	50	40	12	600	12	0	31	5	33	8	36	12	40	鬼门风怒	鬼门风怒：与青龙同时上阵，攻击+4350	33	5	4350	万寂如心	万寂如心：与万剑一同时上阵，气血+152100	31	0	152100	少年宗主	少年宗主：与鬼厉同时上阵，躲闪+5850	1	8	5850	情深骨肉	情深骨肉：与碧瑶同时上阵，暴伤加成+1350	8	11	1350	25	33	30	31	35	-1	-1	-1	11	11	26	26	26	0	0	0	34	134	234	334	434	326	-1	-1	17	17	17	17	17	17	0	0	512	1025	4312	10062	-1
35	白虎	白虎	白虎合成/升阶需要收集[cc00ff][白虎碎片][-]和[灵尘]#r◇[cc00ff][白虎碎片][-]：玄冥殿掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	32		2	1	IconPlusAtlas	zhenling_baihu	Texture/Spirits/Card/zhenling_baihu_card	Texture/Spirits/Head/zhenling_baihu_tx	Texture/Spirits/ZheZhao/baihu	50	40	12	600	12	1	32	6	34	9	37	11	39	圣宗雷霆	圣宗雷霆：与玄武同时上阵，防御+4350	36	6	4350	后世传承	后世传承：与金铃夫人同时上阵，气血+152100	29	0	152100	少年宗主	少年宗主：与鬼厉同时上阵，暴击+14640	1	9	14640	青天神算	青天神算：与周一仙同时上阵，暴伤加成+1350	9	11	1350	28	34	30	32	35	-1	-1	-1	11	11	26	26	26	0	0	0	35	135	235	335	435	425	-1	-1	17	17	17	17	17	17	0	0	669	1339	4430	10337	-1
36	玄武	玄武	玄武合成/升阶需要收集[cc00ff][玄武碎片][-]和[灵尘]#r◇[cc00ff][玄武碎片][-]：帮贡兑换#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	33		2	1	IconPlusAtlas	zhenling_xuanwu	Texture/Spirits/Card/zhenling_xuanwu_card	Texture/Spirits/Head/zhenling_xuanwu_tx	Texture/Spirits/ZheZhao/xuanwu	50	40	12	600	12	0	31	6	34	10	38	12	40	圣宗雷霆	圣宗雷霆：与白虎同时上阵，全精通+10800	35	27	10800	后世传承	后世传承：与黑心老人同时上阵，真气+27105	30	1	27105	屋梁落月	屋梁落月：与鬼王同时上阵，暴抗+23400	3	10	23400	爱糖如命	爱糖如命：与小环同时上阵，暴伤减免+2700	12	12	2700	26	28	29	30	32	-1	-1	-1	11	11	26	26	26	0	0	0	36	136	236	336	436	426	-1	-1	17	17	17	17	17	17	0	0	948	1897	3140	7326	4
37	普方	普方	普方合成/升阶需要收集[0060ff][普方碎片][-]和[灵尘]#r◇[0060ff][普方碎片][-]：150级以上可用经验值兑换；飞升后还可在“限购#r商店”用绑定元宝购买#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	58		1	1	IconPlusAtlas	zhenling_fashan	Texture/Spirits/Card/zhenling_fashan_card	Texture/Spirits/Head/zhenling_fashan_tx	Texture/Spirits/ZheZhao/fashan	50	15	3	150	3	1	17	5	18	12	25	27	26	法轮常转	法轮常转：与普泓同时上阵，暴伤减免+2250	32	12	2250	佛门禅定	佛门禅定：与普德同时上阵，防御+3630	28	6	3630	佛法无边	佛法无边：与普智同时上阵，攻击+3630	11	5	3630	口传心授	口传心授：与法相同时上阵，气血+126750	17	0	126750	13	21	18	19	23	-1	-1	-1	11	11	26	26	26	0	0	0	37	137	237	337	437	537	-1	-1	17	17	17	17	17	17	0	0	427	854	3266	7621	-1
38	兽神	兽神	兽神合成/升阶需要收集[e35609][兽神碎片][-]和[灵尘]#r◇[e35609][兽神碎片][-]：敬请期待#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	12		3	1	IconPlusAtlas	zhenling_shoushen	Texture/Spirits/Card/zhenling_shoushen_card	Texture/Spirits/Head/zhenling_shoushen_tx	Texture/Spirits/ZheZhao/shoushen	50	50	20	1000	20	1	47	5	48	6	49	11	54	兽面仁心	兽面仁心：与玲珑同时上阵，暴伤加成+1500	39	11	1500	坚壁青野	坚壁青野：与青龙同时上阵，暴伤减免+3000	33	12	3000	兽亦有道	兽亦有道：与黑虎同时上阵，气血+169050	40	0	169050	斗杓式瞻	斗杓式瞻：与巫妖同时上阵，攻击+4830	41	5	4830	38	45	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	38	138	238	338	438	538	-1	-1	17	17	17	17	17	17	0	0	915	1830	5596	13058	-1
39	玲珑	玲珑	玲珑合成/升阶需要收集[e35609][玲珑碎片][-]和[灵尘]#r◇[e35609][玲珑碎片][-]：敬请期待#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	13		3	1	IconPlusAtlas	zhenling_linglong	Texture/Spirits/Card/zhenling_linglong_card	Texture/Spirits/Head/zhenling_linglong_tx	Texture/Spirits/ZheZhao/linglong	50	50	20	1000	20	0	46	5	48	6	49	12	55	兽面仁心	兽面仁心：与兽神同时上阵，气血+169050	38	0	169050	魔高一尺	魔高一尺：与小白同时上阵，真气+30120	25	1	30120	感仰倾首	感仰倾首：与黑虎同时上阵，防御+4830	40	6	4830	筹谋失度	筹谋失度：与巫妖同时上阵，暴抗+25995	41	10	25995	39	46	44	47	48	-1	-1	-1	11	11	26	26	26	0	0	0	39	139	239	339	439	539	-1	-1	17	17	17	17	17	17	0	0	891	1782	5578	13016	-1
40	黑虎	黑虎	黑虎合成/升阶需要收集[cc00ff][黑虎碎片][-]和[灵尘]#r◇[cc00ff][黑虎碎片][-]：逐荒行活动长生界野外精英掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	36		2	1	IconPlusAtlas	zhenling_heihu	Texture/Spirits/Card/zhenling_heihu_card	Texture/Spirits/Head/zhenling_heihu_tx	Texture/Spirits/ZheZhao/heihu	50	40	12	600	12	0	31	6	34	7	35	22	42	兽亦有道	兽亦有道：与兽神同时上阵，攻击+4350	38	5	4350	感仰倾首	感仰倾首：与玲珑同时上阵，暴击+14640	39	9	14640	黑雾迷蒙	黑雾迷蒙：与巫妖同时上阵，全抗性+10800	41	28	10800	南北异路	南北异路：与白虎同时上阵，暴伤减免+2700	35	12	2700	26	28	29	30	32	-1	-1	-1	11	11	26	26	26	0	0	0	40	140	240	340	440	540	-1	-1	17	17	17	17	17	17	0	0	948	1897	4639	10825	-1
41	巫妖	巫妖	巫妖合成/升阶需要收集[cc00ff][巫妖碎片][-]和[灵尘]#r◇[cc00ff][巫妖碎片][-]：敬请期待#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	37		2	1	IconPlusAtlas	zhenling_heimu	Texture/Spirits/Card/zhenling_heimu_card	Texture/Spirits/Head/zhenling_heimu_tx	Texture/Spirits/ZheZhao/heimu	50	40	12	600	12	1	32	6	34	8	36	24	44	斗杓式瞻	斗杓式瞻：与兽神同时上阵，命中+14640	38	7	14640	筹谋失度	筹谋失度：与玲珑同时上阵，暴伤加成+1350	39	11	1350	黑雾迷蒙	黑雾迷蒙：与黑虎同时上阵，气血+152100	40	0	152100	生荣死衰	生荣死衰：与玄武同时上阵，躲闪+5850	36	8	5850	25	33	30	31	35	-1	-1	-1	11	11	26	26	26	0	0	0	41	141	241	341	441	541	-1	-1	17	17	17	17	17	17	0	0	512	1025	4312	10062	-1
42	水月大师	水月大师	水月大师合成/升阶需要收集[cc00ff][水月大师碎片][-]和[灵尘]#r◇[cc00ff][水月大师碎片][-]：仙道夺宝限时获得#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	34		2	1	IconPlusAtlas	zhenling_shuiyuedashi	Texture/Spirits/Card/zhenling_shuiyuedashi_card	Texture/Spirits/Head/zhenling_shuiyuedashi_tx	Texture/Spirits/ZheZhao/shuiyuedashi	50	40	12	600	12	1	32	5	33	10	38	25	45	青云首座	青云首座：与苍松道人同时上阵，防御+4350	0	6	4350	同门相济	同门相济：与万剑一同时上阵，暴伤加成+1350	31	11	1350	桃李门墙	桃李门墙：与陆雪琪同时上阵，命中+14640	7	7	14640	尊师贵道	尊师贵道：与萧逸才同时上阵，气血+152100	43	0	152100	28	34	30	32	35	-1	-1	-1	11	11	26	26	26	0	0	0	42	142	242	342	442	542	-1	-1	17	17	17	17	17	17	0	0	669	1339	4430	10337	-1
43	萧逸才	萧逸才	萧逸才合成/升阶需要收集[cc00ff][萧逸才碎片][-]和[灵尘]#r◇[cc00ff][萧逸才碎片][-]：八凶玄火活动奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	35		2	1	IconPlusAtlas	zhenling_xiaoyicai	Texture/Spirits/Card/zhenling_xiaoyicai_card	Texture/Spirits/Head/zhenling_xiaoyicai_tx	Texture/Spirits/ZheZhao/xiaoyicai	50	40	12	600	12	0	31	5	33	9	37	23	43	入室窥道	入室窥道：与道玄真人同时上阵，攻击+4350	2	5	4350	叛门师叔	叛门师叔：与苍松道人同时上阵，暴伤加成+1350	0	11	1350	尊师贵道	尊师贵道：与水月大师同时上阵，暴抗+23400	42	10	23400	狭路相逢	狭路相逢：与玉阳子同时上阵，真气+27105	27	1	27105	25	27	29	31	36	-1	-1	-1	11	11	26	26	26	0	0	0	43	143	243	343	443	543	-1	-1	17	17	17	17	17	17	0	0	873	1746	4582	10693	-1
44	年老大	年老大	年老大合成/升阶需要收集[0060ff][年老大碎片][-]和[灵尘]#r◇[0060ff][年老大碎片][-]：逐荒行活动长生界野外精英掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	59		1	1	IconPlusAtlas	zhenling_nianlaoda	Texture/Spirits/Card/zhenling_nianlaoda_card	Texture/Spirits/Head/zhenling_nianlaoda_tx	Texture/Spirits/ZheZhao/nianlaoda	50	15	3	150	3	1	17	8	21	11	24	25	30	不肖徒孙	不肖徒孙：与黑心老人同时上阵，攻击+3630	30	5	3630	浅身卧底	浅身卧底：与萧逸才同时上阵，气血+126750	43	0	126750	朋比为奸	朋比为奸：与姜老三同时上阵，真气+22590	45	1	22590	狐唱枭和	狐唱枭和：与野狗道人同时上阵，躲闪+4875	24	8	4875	14	16	17	18	20	-1	-1	-1	11	11	26	26	26	0	0	0	44	144	244	344	444	544	-1	-1	17	17	17	17	17	17	0	0	790	1580	3538	8257	-1
45	姜老三	姜老三	姜老三合成/升阶需要收集[0060ff][姜老三碎片][-]和[灵尘]#r◇[0060ff][姜老三碎片][-]：敬请期待#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	60		1	1	IconPlusAtlas	zhenling_jianglaosan	Texture/Spirits/Card/zhenling_jianglaosan_card	Texture/Spirits/Head/zhenling_jianglaosan_tx	Texture/Spirits/ZheZhao/jianglaosan	50	15	3	150	3	0	16	10	23	12	25	22	27	不肖徒孙	不肖徒孙：与黑心老人同时上阵，攻击+3630	30	5	3630	鹿死谁手	鹿死谁手：与张小凡同时上阵，防御+3630	5	6	3630	朋比为奸	朋比为奸：与年老大同时上阵，全精通+9000	44	27	9000	狐唱枭和	狐唱枭和：与野狗道人同时上阵，躲闪+4875	24	8	4875	13	21	18	19	23	-1	-1	-1	11	11	26	26	26	0	0	0	45	145	245	345	445	545	-1	-1	17	17	17	17	17	17	0	0	427	854	3266	7621	-1
0	苍松道人	苍松道人	苍松道人合成/升阶需要收集[e35609][苍松道人碎片][-]和[灵尘]#r◇[e35609][苍松道人碎片][-]：八凶玄火活动奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	11		3	1	IconPlusAtlas	zhenling_cangsongdaoren	Texture/Spirits/Card/zhenling_cangsongdaoren_card	Texture/Spirits/Head/zhenling_cangsongdaoren_tx	Texture/Spirits/ZheZhao/cangsongdaoren	50	50	20	1000	20	5	48	6	49	11	54	27	56	殊途同归	殊途同归：与道玄真人同时上阵，攻击+4830	2	5	4830	风雨同舟	风雨同舟：与万剑一同时上阵，暴伤加成+1500	31	11	1500	狭路相逢	狭路相逢：与玉阳子同时上阵，防御+4830	27	6	4830	青云首座	青云首座：与水月大师同时上阵，全抗性+12000	42	28	12000	38	45	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	0	100	200	300	400	500	-1	-1	17	17	17	17	17	17	0	0	915	1830	5596	13058	-1
