Id	Description	DstSceneID	X	Z	TargetName	TargetJob	Color
	梦境河阳-NPC-普智	39	29.1	27.2	普智	0	FFFF69
	梦境河阳-NPC-秦无炎	39	32.4	23.8	秦无炎	0	FFFF69
95	传送-前往休息东区	95	406	57.4	前往演武场东区	0	FFFF69
	传送-前往休息西区	95	18.4	9.7	前往演武场西区	0	FFFF69
	传送-前往休息南区	95	222.32	262.25	前往演武场南区	0	FFFF69
	传送-前往休息北区	95	477.5	482.7	前往演武场北区	0	FFFF69
	长生界主线-NPC-受伤的蘑菇人	95	168.2	289.7	受伤的蘑菇人	0	FFFF69
	长生界主线-NPC-小魔古（水泽区）	95	113.1	146.9	小魔古（水边）	0	FFFF69
	长生界主线-NPC-小魔古（古寨区）	95	115.1	52.2	小魔古（家园）	0	FFFF69
	长生界主线-NPC-魔古长老	95	97.3	47.5	魔古长老	0	FFFF69
	长生界主线-NPC-瞿如铁卫	95	86.88	426.48	瞿如铁卫	0	FFFF69
	长生界主线-NPC-鹰皇	95	57.5	470.7	鹰皇	0	FFFF69
	长生界主线-NPC-蛮族守卫	95	199.88	46.43	蛮族守卫	0	FFFF69
	长生界主线-NPC-奇怪蛮族守卫	95	215.5	82	奇怪蛮族守卫	0	FFFF69
	长生界主线-NPC-被囚禁的王	95	200.6	9.3	被囚禁的王	0	FFFF69
	长生界主线-NPC-魔古王	95	9	89.1	魔古王	0	FFFF69
	长生界主线-NPC-貔	95	300	506	貔	0	FFFF69
	长生界主线-NPC-尾	95	285.7	453.9	尾	0	FFFF69
	长生界主线-NPC-混沌	95	392	152	混沌	0	FFFF69
	长生界主线-NPC-蛮王	95	199.94	20.57	蛮王	0	FFFF69
	长生界主线-野怪-捣蛋魔古人	95	51.22	234.56	捣蛋魔古人（125级）	1	E60012
	长生界主线-野怪-瞿如族铁卫	95	117	413.1	瞿如族铁卫（130级）	1	E60012
	长生界主线-野怪-蛮族野人	95	221.25	110.4	蛮族野人（140级）	1	E60012
	长生界主线-野怪-天禄族战士	95	309.5	459.4	天禄族战士（145级）	1	E60012
	长生界主线-野怪-娲皇后裔	95	382.3	196	娲皇后裔（150级）	1	E60012
	缥缈之影	95	335.5	291.36	缥缈之影（宠）	1	E60012
	稀有缥缈之影	95	352.66	121.2	稀有缥缈（宠）	1	E60012
	猎鹰	95	347.4	60.6	猎鹰[空中]（宠）	1	E60012
	稀有猎鹰	95	335.5	46.6	稀有猎鹰[空中]（宠）	1	E60012
	御天雷神	95	276.7	157.2	御天雷神（宠）	1	E60012
	稀有御天雷神	95	95.65	296.3	稀有雷神（宠）	1	E60012
97	陷阱1	97	39	20	桃花阵·壹	0	FFFF69
	陷阱2	97	52	24	桃花阵·贰	0	FFFF69
	陷阱3	97	25	28	桃花阵·叁	0	FFFF69
	陷阱4	97	32	39	桃花阵·肆	0	FFFF69
	陷阱5	97	32	47	桃花阵·伍	0	FFFF69
700	传送-前往魔古家园	700	25.5	97.9	前往魔古家园	0	FFFF69
	传送-前往古战场	700	80.2	3.7	前往古战场	0	FFFF69
	传送-前往高山区	700	91.6	111.7	前往高山区	0	FFFF69
	传送-前往平原区	700	116.9	31.9	前往平原区	0	FFFF69
	长生界-云游医师1	700	36.5	86.5	柳申仪<医师>	0	FFFF69
	长生界-云游医师2	700	74.1	17.4	花申仪<医师>	0	FFFF69
	长生界-云游医师3	700	91.5	37.8	云申仪<医师>	0	FFFF69
	长生界-云游医师4	700	97.2	92.6	月申仪<医师>	0	FFFF69
	擂台	700	79.81	32.18	擂台<多人竞技>	0	FFFF69
	陆雪琪	700	67.28	107.46	陆雪琪	0	FFFF69
	法相	700	110.31	79.03	法相	0	FFFF69
	幽姬	700	33.42	55.92	幽姬	0	FFFF69
	三妙夫人	700	58.58	12.86	三妙夫人	0	FFFF69
	金瓶儿	700	60.99	12.86	金瓶儿	0	FFFF69
1000	帮派属地-飞天仙子	1000	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1000	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1000	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1001	帮派属地-飞天仙子	1001	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1001	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1001	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1002	帮派属地-飞天仙子	1002	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1002	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1002	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1003	帮派属地-飞天仙子	1003	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1003	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1003	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1004	帮派属地-飞天仙子	1004	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1004	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1004	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1005	帮派属地-飞天仙子	1005	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1005	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1005	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1006	帮派属地-飞天仙子	1006	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1006	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1006	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1007	帮派属地-飞天仙子	1007	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1007	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1007	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1008	帮派属地-飞天仙子	1008	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1008	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1008	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1009	帮派属地-飞天仙子	1009	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1009	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1009	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1010	帮派属地-飞天仙子	1010	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1010	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1010	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1011	帮派属地-飞天仙子	1011	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1011	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1011	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1012	帮派属地-飞天仙子	1012	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1012	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1012	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1013	帮派属地-飞天仙子	1013	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1013	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1013	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1014	帮派属地-飞天仙子	1014	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1014	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1014	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1015	帮派属地-飞天仙子	1015	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1015	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1015	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1016	帮派属地-飞天仙子	1016	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1016	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1016	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1017	帮派属地-飞天仙子	1017	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1017	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1017	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1018	帮派属地-飞天仙子	1018	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1018	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1018	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1019	帮派属地-飞天仙子	1019	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1019	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1019	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1020	帮派属地-飞天仙子	1020	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1020	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1020	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1021	帮派属地-飞天仙子	1021	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1021	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1021	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1022	帮派属地-飞天仙子	1022	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1022	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1022	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1023	帮派属地-飞天仙子	1023	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1023	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1023	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1024	帮派属地-飞天仙子	1024	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1024	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1024	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1025	帮派属地-飞天仙子	1025	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1025	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1025	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1026	帮派属地-飞天仙子	1026	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1026	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1026	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1027	帮派属地-飞天仙子	1027	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1027	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1027	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1028	帮派属地-飞天仙子	1028	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1028	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1028	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1029	帮派属地-飞天仙子	1029	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1029	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1029	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1030	帮派属地-飞天仙子	1030	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1030	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1030	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1031	帮派属地-飞天仙子	1031	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1031	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1031	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1032	帮派属地-飞天仙子	1032	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1032	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1032	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1033	帮派属地-飞天仙子	1033	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1033	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1033	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1034	帮派属地-飞天仙子	1034	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1034	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1034	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1035	帮派属地-飞天仙子	1035	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1035	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1035	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1036	帮派属地-飞天仙子	1036	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1036	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1036	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1037	帮派属地-飞天仙子	1037	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1037	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1037	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1038	帮派属地-飞天仙子	1038	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1038	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1038	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1039	帮派属地-飞天仙子	1039	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1039	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1039	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1040	帮派属地-飞天仙子	1040	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1040	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1040	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1041	帮派属地-飞天仙子	1041	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1041	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1041	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1042	帮派属地-飞天仙子	1042	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1042	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1042	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1043	帮派属地-飞天仙子	1043	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1043	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1043	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1044	帮派属地-飞天仙子	1044	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1044	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1044	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1045	帮派属地-飞天仙子	1045	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1045	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1045	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1046	帮派属地-飞天仙子	1046	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1046	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1046	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1047	帮派属地-飞天仙子	1047	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1047	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1047	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1048	帮派属地-飞天仙子	1048	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1048	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1048	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1049	帮派属地-飞天仙子	1049	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1049	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1049	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1050	帮派属地-飞天仙子	1050	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1050	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1050	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1051	帮派属地-飞天仙子	1051	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1051	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1051	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1052	帮派属地-飞天仙子	1052	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1052	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1052	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1053	帮派属地-飞天仙子	1053	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1053	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1053	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1054	帮派属地-飞天仙子	1054	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1054	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1054	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1055	帮派属地-飞天仙子	1055	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1055	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1055	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1056	帮派属地-飞天仙子	1056	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1056	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1056	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1057	帮派属地-飞天仙子	1057	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1057	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1057	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1058	帮派属地-飞天仙子	1058	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1058	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1058	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1059	帮派属地-飞天仙子	1059	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1059	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1059	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1060	帮派属地-飞天仙子	1060	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1060	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1060	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1061	帮派属地-飞天仙子	1061	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1061	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1061	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1062	帮派属地-飞天仙子	1062	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1062	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1062	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1063	帮派属地-飞天仙子	1063	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1063	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1063	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1064	帮派属地-飞天仙子	1064	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1064	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1064	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1065	帮派属地-飞天仙子	1065	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1065	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1065	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1066	帮派属地-飞天仙子	1066	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1066	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1066	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1067	帮派属地-飞天仙子	1067	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1067	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1067	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1068	帮派属地-飞天仙子	1068	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1068	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1068	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1069	帮派属地-飞天仙子	1069	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1069	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1069	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1070	帮派属地-飞天仙子	1070	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1070	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1070	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1071	帮派属地-飞天仙子	1071	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1071	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1071	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1072	帮派属地-飞天仙子	1072	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1072	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1072	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1073	帮派属地-飞天仙子	1073	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1073	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1073	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1074	帮派属地-飞天仙子	1074	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1074	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1074	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1075	帮派属地-飞天仙子	1075	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1075	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1075	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1076	帮派属地-飞天仙子	1076	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1076	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1076	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1077	帮派属地-飞天仙子	1077	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1077	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1077	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1078	帮派属地-飞天仙子	1078	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1078	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1078	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1079	帮派属地-飞天仙子	1079	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1079	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1079	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1080	帮派属地-飞天仙子	1080	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1080	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1080	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1081	帮派属地-飞天仙子	1081	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1081	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1081	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1082	帮派属地-飞天仙子	1082	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1082	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1082	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1083	帮派属地-飞天仙子	1083	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1083	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1083	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1084	帮派属地-飞天仙子	1084	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1084	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1084	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1085	帮派属地-飞天仙子	1085	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1085	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1085	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1086	帮派属地-飞天仙子	1086	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1086	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1086	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1087	帮派属地-飞天仙子	1087	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1087	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1087	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1088	帮派属地-飞天仙子	1088	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1088	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1088	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1089	帮派属地-飞天仙子	1089	44.53	28.7	飞天仙子<传送>	0	FFFF69
	帮派属地-管家	1089	44.72	22.9	司徒帮兴<帮派环任务>	0	FFFF69
	帮派属地-商人	1089	38.71	16.51	鲍权友<帮派商人>	0	FFFF69
1090	帮派属地-飞天仙子	1090	44.53	28.7	飞天仙子<传送>	0	FFFF69
