Id	Desc	ResPath	PosX	PosY	PosZ	RotX	RotY	RotZ	FieldOfView
284	吕顺	Npc_lvshun_1	0.07	-1.65	1.29	7.680001	-173.91	0	60
285	齐昊	Npc_qihao_1	-0.01	-1.4	0.7	0	166.98	0	60
286	糖葫芦小贩	Npc_dianxiaoer_1	0.07	-1.07	0.67	-1.059	173.04	0	60
287	玄武	Npc_xuanwu_1	-0.01	-1.12	0.94	-2.77	169	0	60
288	饕餮	Npc_taotie_1	0.08	-2.34	4.4	-5.32	168.44	0	60
289	Man/Child通用	Npc_shitou_1	0	-1.1	1.1	-2.16	168.06	0	30
290	Man/Fat通用	Npc_feilong_1	0	-1.13	1.6	0.41	168.06	0	30
291	Man/Fat/One_Sword通用	Npc_tianbuyi_1	0.05	-1.13	1.6	0.41	179.66	0	30
292	Man/MatureMan/Long_Magic通用	Npc_zhouyixian_1	0	-1.34	1.25	0.41	177.55	0	30
293	Man/MatureMan/Magic通用	Npc_dushen_1	-0.05	-1.4	1.38	0.41	171.16	0	30
294	Man/MatureMan/Ghost通用	Npc_guixiansheng_1	0	-1.7	1.45	0.41	171.16	0	30
295	Man/MatureMan/No_Weapon通用	Npc_chefu_1	-0.02	-1.38	1.35	2.98	171.16	0	30
296	Man/MatureMan/One_Sword通用	Npc_qingyunnandizi_1	0	-1.33	1.3	2.98	-174.9	0	30
297	Man/Strong/Long_Weapon通用	Npc_pushan_1	0	-1.67	1.7	0.41	178.29	0	30
298	Man/Strong/Magic通用	Npc_guiwang_1	-0.05	-1.75	1.85	0.2	177.29	0	30
299	Man/Strong/No_Weapon通用	Npc_tumagu_1	0	-1.67	1.85	0.41	-171.5	0	30
300	Man/Strong/One_Sword通用	Npc_tiejiang_1	-0.02	-1.67	1.85	0.41	176	0	30
301	Man/Titan通用	Npc_renyu_1	0.02	-1.6	3.24	0.41	168.87	0	30
302	Woman/MatureWoman/Ghost通用	Npc_yuanlingnv_1	-0.02	-1.54	1.25	0.41	171.16	0	30
303	Woman/MatureWoman/Long_Weapon通用	Npc_lizunvzhanshi_1	0.04	-1.2	1.2	0.41	175.14	0	30
304	Woman/MatureWoman/Magic通用	Npc_biyao_1	0.04	-1.22	0.99	0.41	178.05	0	30
305	Woman/MatureWoman/No_Weapon通用	Npc_yanhong_1	-0.02	-1.22	0.99	0.41	175.31	0	30
306	Woman/MatureWoman/One_Sword通用	Npc_luxueqi_1	-0.02	-1.23	1.05	0.41	174.66	0	30
307	宠物-稀有-饕餮（VIP17专用）	Npc_taotie_1	0.07998657	-1.270691	6.4	0	-157	0	60
308	首充奖励武器-青云	Jian_20_1	0.123	0.2	2.261	-40.18268	-89.99991	79.99992	60
309	首充奖励武器-天音	Zhang_20_1	0.161	0.275	2.451	-40.18268	-89.99991	79.99992	60
310	首充奖励武器-鬼王	Ren_20_1	-0.246	-0.162	3.11	-40.18268	-89.99991	79.99992	60
311	首充奖励武器-合欢	Huan_20_1_L	-0.115	-0.121	1.294	-40.18268	-89.99991	79.99992	60
312	青云男（时装界面）	Zy_qingyunnan_020	-0.005	-0.76	1.77	0	-180	0	60
313	青云女（时装界面）	Zy_qingyunnv_010	0.07855225	-0.64	1.468352	0	-176.2522	0	60
314	天音男（时装界面）	Zy_qingyunnan_021	-0.005	-0.76	1.77	0	-180	0	60
315	天音女（时装界面）	Zy_qingyunnv_011	0.07855225	-0.64	1.468352	0	-176.2522	0	60
316	鬼王男（时装界面）	Zy_guiwangzongnan_010	-0.005	-0.76	1.77	0	-180	0	60
317	鬼王女（时装界面）	Zy_guiwangzongnv_010	-0.012	-0.64	1.474	0	-176.2522	0	60
318	合欢男（时装界面）	Zy_qingyunnan_023	-0.005	-0.76	1.77	0	-165.5248	0	60
319	合欢女（时装界面）	Zy_qingyunnv_013	0.07855225	-0.64	1.468352	0	170.578	0	60
320	青云男（活动分享界面）	Zy_qingyunnan_020	-0.005	-0.76	2.55	0	-180	0	60
321	青云女（活动分享界面）	Zy_qingyunnv_010	0.07855225	-0.64	2.248352	0	-176.2522	0	60
322	天音男（活动分享界面）	Zy_qingyunnan_021	-0.005	-0.76	2.55	0	-180	0	60
323	天音女（活动分享界面）	Zy_qingyunnv_011	0.07855225	-0.64	2.248352	0	-176.2522	0	60
324	鬼王男（活动分享界面）	Zy_guiwangzongnan_010	-0.005	-0.76	2.55	0	-180	0	60
325	鬼王女（活动分享界面）	Zy_guiwangzongnv_010	-0.012	-0.64	2.254	0	-176.2522	0	60
326	合欢男（活动分享界面）	Zy_qingyunnan_023	-0.005	-0.76	2.55	0	-165.5248	0	60
327	合欢女（活动分享界面）	Zy_qingyunnv_013	0.07855225	-0.64	2.248352	0	170.578	0	60
328	V1奖励坐骑	null	0	-1	3.3	-5	132.4727	0	60
329	V16奖励坐骑	null	0.8	-2.21	5.2	-5	140	0	60
330	镇魔古洞掉落坐骑	null	0.5	-2	6	-5	132.4727	0	60
331	七脉会武高级奖励座骑	null	-0.1	-1	3.5	-5	132.4727	0	60
332	花嫁	null	0.9	-2.21	7.5	-5	132.4727	0	60
333	商城出售坐骑1	null	0.2	-1.3	3.8	-5	132.4727	0	60
334	每日抽奖坐骑-狼变色	null	-0.1	-1	3.5	-5	132.4727	0	60
335	友好度里程碑坐骑	null	0.5	-1.5	4.5	-5	128	0	60
336	宠物-稀有-蘑菇仙人-12级（分享活动专用）	Npc_moguxian_1	0	-0.26	1.28	-3.6	156.51	0	60
337	绿色麒麟	null	0.5	-1.8	5.25	-5	132.4727	0	60
338	红色麒麟	null	0.5	-2.21	7.5	-5	132.4727	0	60
339	镇魔古洞-聚火盆	Npc_Juhuopen	0	0	999	0	0	0	60
340	镇魔古洞-传送石	Npc_Chuansongzhen	0	0	999	0	0	0	60
341	云马	null	0.5	-2	5	-5	132.4727	0	60
342	白泽	null	0.5	-2	5	-5	132.4727	0	60
343	彩翼黄鸟	null	0.5	-1.5	4.5	-5	128	0	60
344	VIP界面展示-V1白虎坐骑	null	-0.04	-0.82	2.5	-5	132.4727	0	60
345	VIP界面展示-V2寒冰剑（法宝展示）	Jian_hanbingjian_01	-0.05	0.55	1.6	-5	90	90	60
346	VIP界面展示-V10噬血珠（法宝展示）	Fb_x_shixuezhu_1	0.01	0	1.45	-5	90	90	60
347	VIP界面展示-V12摄魂（法宝展示）	Fb_x_shehun_1	0.02	-0.34	1.3	-82	-49	49	60
348	VIP界面展示-V16敖弘坐骑	null	-0.93	-2.04	4.15	-5	140	0	60
349	VIP界面展示-V17宠物-稀有-饕餮（VIP17专用）	Npc_taotie_1	0.07998657	-1.7	5.11	0	-157	0	60
350	VIP界面展示-V18诛仙剑（法宝展示）	Fb_x_zhuxiangujian_1	-0.05	0.54	1.52	80.6	57.6	58	60
351	花嫁	null	0.2	-3	5.6	0	164	0	60
352	石头雕像	Npc_shitoudiaoxiang_1	0	-1.95	0.42	-7.790039	178.2	0	60
353	聚宝盆	Npc_baoxiang_1	0	-0.67	1.64	0	0	0	60
354	四灵幡（法宝展示）	Fb_x_silingfan_1	-0.05	0.6	3.8	-90	-10	0	60
355	多情环（法宝展示）	Fb_x_duoqinghuan_1	-0.05	-0.05	3	-10	-177.5	0	60
356	四灵幡坐骑	null	0.2	-2.1	3	-5	132	0	60
357	多情环坐骑	null	0.15	-1.7	3.5	-5	135	0	60
358	玉兔	null	0	-1.5	4	-5	132	0	60
359	斩龙剑（法宝展示）	Fb_x_zhanlongjian_1	-0.05	0.55	2.8	86	90	180	60
360	斩龙剑坐骑	null	-0.3	-2.1	3	-5	145	0	60
361	玉兔	null	0	-1.5	4	-5	132	0	60
362	鲲鹏	null	-0.5	-2	5.3	-5	135	0	60
363	敖蒙	null	-0.5	-2	5.3	-5	135	0	60
364	单身狗	null	0	-1	3	-5	135	0	60
365	驯鹿	null	0.5	-2	5	-5	145	0	60
366	宠物-普通-缥缈之影-1级	Npc_piaomiaozhiying_2	0	-0.94	2.5	0	179.12	0	60
367	宠物-稀有-缥缈之影-1级	Npc_piaomiaozhiying_1	0	-0.94	2.5	0	179.12	0	60
368	宠物-普通-缥缈之影-12级	Npc_piaomiaozhiying_3	0	-0.94	2.5	0	179.12	0	60
369	宠物-稀有-缥缈之影-12级	Npc_piaomiaozhiying_4	0	-0.94	2.5	0	179.12	0	60
370	宠物-普通-御天雷神-1级	Npc_leizhenzi_4	0	-0.94	2.5	0	179.12	0	60
371	宠物-稀有-御天雷神-1级	Npc_leizhenzi_1	0	-0.94	2.5	0	179.12	0	60
372	宠物-普通-御天雷神-12级	Npc_leizhenzi_2	0	-0.94	2.5	0	179.12	0	60
373	宠物-稀有-御天雷神-12级	Npc_leizhenzi_3	0	-0.94	2.5	0	179.12	0	60
374	宠物-普通-猎鹰-1级	Npc_lieying_1	-0.52	-1.5	5.26	-3.6	-149.9	0	60
375	宠物-稀有-猎鹰-1级	Npc_lieying_3	-0.52	-1.5	5.26	-3.6	-149.9	0	60
376	宠物-普通-猎鹰-12级	Npc_lieying_2	-0.52	-1.5	5.26	-3.6	-149.9	0	60
377	宠物-稀有-猎鹰12级	Npc_lieying_4	-0.52	-1.5	5.26	-3.6	-149.9	0	60
378	宠物-普通-应龙-1级	Npc_yinglong_1	-0.52	-1.5	5.26	-3.6	-149.9	0	60
379	宠物-稀有-应龙-1级	Npc_yinglong_3	-0.52	-1.5	5.26	-3.6	-149.9	0	60
380	宠物-普通-应龙-12级	Npc_yinglong_2	-0.52	-1.5	5.26	-3.6	-149.9	0	60
381	宠物-稀有-应龙-12级	Npc_yinglong_4	-0.52	-1.5	5.26	-3.6	-149.9	0	60
382	白泽变色	null	0.5	-2	5	-5	132.4727	0	60
383	九色鹿	null	0.5	-2	5	-5	132.4727	0	60
384	宠物-普通-雪人-1级	Npc_xueren_1	0	-0.37	1.77	0	178.02	0	60
385	宠物-稀有-雪人-1级	Npc_xueren_4	0	-0.37	1.77	0	178.02	0	60
386	宠物-普通-雪人-12级	Npc_xueren_2	0	-0.37	1.77	0	178.02	0	60
387	宠物-稀有-雪人-12级	Npc_xueren_3	0	-0.37	1.77	0	178.02	0	60
388	宠物-稀有-蘑菇仙人-1级（隐藏任务专用）	Npc_moguxian_2	0	-0.23	1.13	0	149.98	0	60
389	魔古人	Npc_moguxianren_1	0	-0.37	0.71	0	178.02	0	60
390	Man/Wildman通用	Npc_yeren_1	0.1	-1.76	2.5	0.41	-167.98	0	30
391	鹿女通用	Npc_wahuanglingzu_1	0	-1.17	0.8	-0.1	179.79	0	60
392	Animal/Naga通用	Npc_wahuanglingzu_1	0.05	-1.2	0.44	-0.1	-179.69	0	60
393	天琊变色坐骑	null	-0.3	-2.1	2.8	-5	150	0	60
394	大悲金轮变色坐骑	null	0.2	-2.3	3	-5	140	0	60
395	伏龙鼎变色坐骑	null	0.3	-1.9	3.6	-5	120	0	60
396	合欢铃变色坐骑	null	0.2	-2	3	-5	120	0	60
397	金鸡	null	0	-1.4	4.2	-5	125	0	60
398	爆竹（法宝展示）	Fb_x_baozhu_1	0.04	-0.5	2.8	-60	-90	0	60
399	爆竹坐骑	null	-0.3	-1.75	4.2	-5	144.5	0	60
400	幻灵石 - 张小凡	Npc_zhangxiaofan_2	-0.005	-0.76	1.77	0	-180	0	60
401	幻灵石 - 三尾	Npc_xiaoqian_1	-0.005	-0.76	1.77	0	-180	0	60
402	幻灵石 - 杜必书	Npc_dubishu_1	-0.005	-0.89	1.95	0	-180	0	60
403	幻灵石 - 狐妖	Npc_huyao_1	-0.005	-0.76	1.77	0	-180	0	60
404	幻灵石 - 周一仙	Npc_zhouyixian_1	0.03	-0.85	1.96	0	-180	0	60
405	幻灵石 - 小环	Npc_xiaohuan_1	-0.005	-0.76	1.76	0	-180	0	60
406	幻灵石 - 林惊羽	Npc_linjingyu_1	-0.005	-0.86	1.85	0	-180	0	60
407	宠物-普通-小猫-1级	NPC_chongwumao_1	0	-0.26	1.28	-3.6	-151	0	60
408	宠物-稀有-小猫-1级	NPC_chongwumao_3	0	-0.26	1.28	-3.6	-151	0	60
409	宠物-普通-小猫-12级	NPC_chongwumao_2	0	-0.26	1.28	-3.6	-151	0	60
410	宠物-稀有-小猫-12级	NPC_chongwumao_4	0	-0.26	1.28	-3.6	-151	0	60
411	长生界-隐藏任务-猴头魔	Npc_moguxian_2	0	-0.37	0.71	0	178.02	0	60
412	长生界-隐藏任务-香香古	Npc_moguxian_4	0	-0.37	0.71	0	178.02	0	60
413	盛如夏花	null	0.2	-2.3	2.8	-5	150	0	60
414	锦绣未央	null	0.5	-2	5	-5	132.4727	0	60
415	宠物-稀有-小墨妹-1级（异业合作专用）	Npc_xiaomomei_1	0	-0.37	1.77	0	178.02	0	60
416	宠物-普通-小鸡-1级	Npc_xiaohuangji_1	0	-1	4.41	0	-155.59	0	60
417	宠物-稀有-小鸡-1级	Npc_xiaohuangji_2	0	-1	4.41	0	-155.59	0	60
418	宠物-普通-小鸡-12级	Npc_xiaohuangji_3	0	-1	4.41	0	-155.59	0	60
419	宠物-稀有-小鸡-12级	Npc_xiaohuangji_4	0	-1	4.41	0	-155.59	0	60
420	魔古人	Npc_moguxian_3	0	-0.5	0.99	0	149.98	0	60
421	元宵花灯	null	0.2	-2.21	3.5	-5	132.4727	0	60
422	凤凰	null	0.5	-1.5	4.5	-5	128	0	60
423	幻影陆吾	null	0.2	-1.3	3.8	-5	132.4727	0	60
