Id	Description	Name	Title	NpcType	Level	AttackDisType	SkillstrategyIndex	CombatAttrIndex	AttackIntervalTime	ForceId	PathRadius	AlertRadius	IsRanbdMove	RandMoveDis	CorpseTime	ReviveTime	ReviveRate	ReviveTimeBegin_01	ReviveTimeEnd_01	ReviveTimeBegin_02	ReviveTimeEnd_02	DialogID	DialogRadius	DropItemNormalId	FirstDropItemNormalId	DropItemCopyId	IsAttackFly	BelongType	IsImmuneJT	CombatNPC	MissionNpcFlag	Exp	ExpFactor	EnhanceID1	EnhanceID2	EnhanceID3	EnhanceID4	EnhanceID5	EnhanceID6	SilverCoinMin	SilverCoinMax	SilverCoinFactor	GoldCoinRate	GoldCoinDrop	GoldCoinFactor	NpcPaoPaoId	IsCanBeClientSel	IsNoALevelReduc	IsNoPernoctation	IsDisableFaceto	IsCanCatch	CatchFellowId	HuntCollectId	IsCleanLeaveCombat	BornAnimId	BornAnimTime	ScriptID	FinalAttackDrop	ImpactId_01	ImpactId_02	IsDiscareServerLevel	IsLogDropInfo
655	大王村-相位BOSS-曾书书	曾书书		2	50	0	1	3350	2000	3	100	12	0	0	3000	2000	0	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
656	大王村-相位BOSS-观棋	观棋		2	50	0	1	3350	2000	3	100	12	0	0	3000	2000	0	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
657	大王村-相位BOSS-凌烟	凌烟		2	50	0	1	3350	2000	3	100	12	0	0	3000	2000	0	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
658	大王村-相位BOSS-兰鸾儿	兰鸾儿		2	50	0	1	3350	2000	3	100	12	0	0	3000	2000	0	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
659	滴血洞-NPC-陆雪琪	陆雪琪		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	181	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
660	大王村-银针试毒点-果蔬	果蔬		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
661	大王村-银针试毒点-生肉	生肉		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
662	大王村-银针试毒点-水缸	水缸		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
663	大王村-银针试毒点-毒罐1	毒罐		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
664	大王村-银针试毒点-毒罐2	毒罐		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
665	大王村-银针试毒点-毒罐3	毒罐		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
666	死亡沼泽-任务点-搜索水洼	水洼		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	182	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
667	死亡沼泽-任务点-搜索水洼	可疑水洼		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	183	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	1034	-1	-1	-1	0	0
668	死亡沼泽-任务点-搜索水洼	水洼		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	184	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
669	死亡沼泽-相位小BOSS-精壮鱼人	精壮鱼人		2	65	0	1	19	2000	3	100	12	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
670	小池镇-NPC-万氏	万氏		0	99	0	-1	5	2000	1	20	5	0	0	3000	2000	1	-1	-1	-1	-1	185	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
671	梦境河阳-NPC-鬼厉	鬼厉	<与我对话>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	231	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
672	梦境河阳-BOSS-碧瑶-正常战力	魔化碧瑶	<击杀我>	2	90	0	33	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	238	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
673	梦境河阳-BOSS-陆雪琪-正常战力	魔化陆雪琪	<击杀我>	2	90	0	34	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	239	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
674	梦境河阳-BOSS-田灵儿-正常战力	魔化田灵儿	<击杀我>	2	90	0	35	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	240	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
675	梦境河阳-BOSS-林惊羽-正常战力	魔化林惊羽	<击杀我>	2	90	0	36	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	241	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
676	梦境河阳-BOSS-道玄-正常战力	魔化道玄	<击杀我>	2	90	0	37	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	242	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
677	梦境河阳-BOSS-普智-正常战力	魔化普智	<击杀我>	2	90	0	38	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	243	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
678	梦境河阳-BOSS-秦无炎-正常战力	魔化秦无炎	<击杀我>	2	90	0	39	3090	2000	3	100	100	0	0	3000	2000	0	-1	-1	-1	-1	244	2	-1	-1	24	1	1	0	1	0	0	0	1607	1608	1609	1610	1611	1612	0	0	0	0	0	0	-1	1	7	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
679	梦境河阳-NPC-碧瑶	碧瑶	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	252	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
680	梦境河阳-NPC-陆雪琪	陆雪琪	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	253	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
681	梦境河阳-NPC-田灵儿	田灵儿	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	254	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
682	梦境河阳-NPC-林惊羽	林惊羽	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	255	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
683	梦境河阳-NPC-道玄	道玄	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	256	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
684	梦境河阳-NPC-普智	普智	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	257	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
685	梦境河阳-NPC-秦无炎	秦无炎	<若鬼厉描述的是我，请点击>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	258	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	1
686	首登场景-小冥蛇	冥蛇		2	1	1	5	167	1200	3	100	20	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	137	1500	-1	-1	-1	-1	0	0
688	宠物-普通-顽猴（捕捉前）	萌猴	<点我点我↓↓>	0	12	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	687	-1	0	-1	0	-1	-1	-1	-1	0	0
690	宠物-稀有-顽猴（捕捉前）	稀有萌猴	<点我点我↓↓>	0	12	0	-1	18	1200	1	0	0	1	3	0	600000	0.5	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	689	-1	0	-1	0	-1	-1	-1	-1	0	0
692	宠物-普通-广寒玉兔（捕捉前）	广寒玉兔	<点我点我↓↓>	0	35	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	691	-1	0	-1	0	-1	-1	-1	-1	0	0
694	宠物-稀有-广寒玉兔（捕捉前）	稀有玉兔	<点我点我↓↓>	0	35	0	-1	18	1200	1	0	0	1	3	0	600000	0.5	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	693	-1	0	-1	0	-1	-1	-1	-1	0	0
696	宠物-普通-魅心蝶精（捕捉前）	魅心蝶精	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	695	-1	0	-1	0	-1	-1	-1	-1	0	0
698	宠物-稀有-魅心蝶精（捕捉前）	稀有蝶精	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	1800000	0.3	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	697	-1	0	-1	0	-1	-1	-1	-1	0	0
700	宠物-普通-冰原雪熊（捕捉前）	冰焰熊	<点我点我↓↓>	0	70	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	699	-1	0	-1	0	-1	-1	-1	-1	0	0
702	宠物-稀有-冰原雪熊（捕捉前）	稀有冰焰熊	<点我点我↓↓>	0	70	0	-1	18	1200	1	0	0	1	3	0	900000	0.4	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	701	-1	0	-1	0	-1	-1	-1	-1	0	0
704	宠物-普通-七彩麋鹿（捕捉前）	七彩麋鹿	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	703	-1	0	-1	0	-1	-1	-1	-1	0	0
706	宠物-稀有-七彩麋鹿（捕捉前）	稀有麋鹿	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	1800000	0.3	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	705	-1	0	-1	0	-1	-1	-1	-1	0	0
708	宠物-普通-嗜血蝙蝠（捕捉前）	嗜血蝙蝠	<点我点我↓↓>	0	70	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	707	-1	0	-1	0	-1	-1	-1	-1	0	0
710	宠物-稀有-嗜血蝙蝠（捕捉前）	稀有蝙蝠	<点我点我↓↓>	0	70	0	-1	18	1200	1	0	0	1	3	0	900000	0.4	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	709	-1	0	-1	0	-1	-1	-1	-1	0	0
712	宠物-普通-花魅公主（捕捉前）	花魅公主	<点我点我↓↓>	0	50	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	711	-1	0	-1	0	-1	-1	-1	-1	0	0
714	宠物-稀有-花魅公主（捕捉前）	稀有花魅	<点我点我↓↓>	0	50	0	-1	18	1200	1	0	0	1	3	0	600000	0.5	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	713	-1	0	-1	0	-1	-1	-1	-1	0	0
716	宠物-普通-狐狸（捕捉前）	狐狸	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	715	-1	0	-1	0	-1	-1	-1	-1	0	0
718	宠物-稀有-狐狸（捕捉前）	稀有狐狸	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	1800000	0.3	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	717	-1	0	-1	0	-1	-1	-1	-1	0	0
720	宠物-普通-猫头鹰（捕捉前）	夜枭	<点我点我↓↓>	0	80	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	719	-1	0	-1	0	-1	-1	-1	-1	0	0
722	宠物-稀有-猫头鹰（捕捉前）	稀有夜枭	<点我点我↓↓>	0	80	0	-1	18	1200	1	0	0	1	3	0	1200000	0.4	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	721	-1	0	-1	0	-1	-1	-1	-1	0	0
724	宠物-普通-守护石灵（捕捉前）	守护石灵	<点我点我↓↓>	0	80	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	723	-1	0	-1	0	-1	-1	-1	-1	0	0
726	宠物-稀有-守护石灵（捕捉前）	稀有石灵	<点我点我↓↓>	0	80	0	-1	18	1200	1	0	0	1	3	0	1200000	0.4	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	725	-1	0	-1	0	-1	-1	-1	-1	0	0
728	宠物-普通-彩翼黄鸟（捕捉前）	彩翼黄鸟	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	727	-1	0	-1	0	-1	-1	-1	-1	0	0
730	宠物-稀有-彩翼黄鸟（捕捉前）	稀有黄鸟	<点我点我↓↓>	0	90	0	-1	18	1200	1	0	0	1	3	0	1800000	0.3	900	2359	1	100	-1	2	-1	-1	-1	0	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	729	-1	0	-1	0	-1	-1	-1	-1	0	0
731	兽神之叹-接引NPC-形象1	兽神	<兽神之叹-难度1>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	186	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
732	兽神之叹-接引NPC-形象1	兽神	<兽神之叹-难度2>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	187	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
733	兽神之叹-接引NPC-形象1	兽神	<兽神之叹-难度3>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	188	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
734	兽神之叹-接引NPC-形象1	兽神	<兽神之叹-难度4>	0	90	0	1	3090	2000	1	0	0	0	0	3000	2000	0	-1	-1	-1	-1	189	2	-1	-1	-1	1	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
735	妖兽突袭-入口	一分队队长	<妖兽突袭>	0	99	0	-1	5	1200	1	0	0	0	0	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
736	妖兽突袭-入口	二分队队长	<妖兽突袭>	0	99	0	-1	5	1200	1	0	0	0	0	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
737	妖兽突袭-入口	三分队队长	<妖兽突袭>	0	99	0	-1	5	1200	1	0	0	0	0	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
738	妖兽突袭-入口	四分队队长	<妖兽突袭>	0	99	0	-1	5	1200	1	0	0	0	0	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
739	妖兽突袭-入口	五分队队长	<妖兽突袭>	0	99	0	-1	5	1200	1	0	0	0	0	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
740	妖兽突袭-入口	六分队队长	<妖兽突袭>	0	99	0	-1	5	1200	1	0	0	0	0	0	10000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
741	妖兽突袭-相位-天音怪1	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
742	妖兽突袭-相位-天音怪2	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
743	妖兽突袭-相位-天音怪3	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
744	妖兽突袭-相位-天音怪4	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
745	妖兽突袭-相位-天音怪5	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
746	妖兽突袭-相位-天音怪6	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
747	妖兽突袭-相位-天音怪7	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
748	妖兽突袭-相位-天音怪8	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
749	妖兽突袭-相位-天音怪9	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
750	妖兽突袭-相位-天音怪10	天音小分队		0	10	0	41	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472002	873002	0	0
751	妖兽突袭-相位-青云怪1	青云小分队		0	10	0	40	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472001	873002	0	0
752	妖兽突袭-相位-青云怪2	青云小分队		0	10	0	40	3010	2000	3	100	20	1	3	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	1201	1202	1203	1204	1205	1206	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	472001	873002	0	0
